,,Males,Females,Persons,,Median age,,People aged 0 to 14 years,People aged 15 to 64 years,People aged 65 years and over
20260,Ararat ,6402,5563,11965,,46.7,,15.9,60.1,24
20570,Ballarat ,53954,57407,111361,,37.6,,19.3,63.4,17.3
20660,Banyule ,64571,67369,131940,,39.6,,18.2,63.8,18
20740,Bass Coast ,18343,19102,37445,,49.7,,16.3,55.7,28
20830,Baw Baw ,26779,28105,54884,,40.7,,19.7,60.5,19.9
20910,Bayside ,51545,55996,107541,,44.2,,18,62.4,19.6
21010,Benalla ,6905,7232,14137,,49.9,,15.9,56.7,27.4
21110,Boroondara ,88431,94592,183023,,38.2,,16.2,67.2,16.6
21180,Brimbank ,105739,102508,208247,,36.4,,17.9,66.9,15.2
21270,Buloke ,3153,2948,6101,,51.7,,16.4,55.2,28.4
21370,Campaspe ,18680,18995,37675,,45.9,,17.8,58.6,23.6
21450,Cardinia ,57614,58579,116193,,34.1,,23,65.2,11.8
21610,Casey,182885,181715,364600,,34,,22.7,66.7,10.6
21670,Central Goldfields ,6494,6598,13092,,51.3,,15.3,55,29.8
21750,Colac-Otway ,10870,10792,21662,,45.4,,17.7,59.1,23.2
21830,Corangamite ,8068,7861,15929,,47.4,,17.8,58.2,24
21890,Darebin ,81314,85116,166430,,36,,15.1,70.9,13.9
22110,East Gippsland ,23621,24104,47725,,51,,16.2,54.1,29.7
22170,Frankston ,70423,72915,143338,,38.9,,18.8,64.9,16.3
22250,Gannawarra ,5265,5135,10400,,50.9,,16,54.6,29.3
22310,Glen Eira ,77104,81112,158216,,36.8,,17.6,67.2,15.2
22410,Glenelg ,9790,9831,19621,,48.7,,16.1,59.7,24.2
22490,Golden Plains ,12349,11900,24249,,39.1,,21.8,63.5,14.7
22620,Greater Bendigo ,58544,61436,119980,,38.5,,19.4,62.6,18
22670,Greater Dandenong ,86545,81817,168362,,35.6,,17.9,66.9,15.2
22750,Greater Geelong,129892,134974,264866,,38.9,,18.1,63.3,18.5
22830,Greater Shepparton,33643,33427,67070,,39,,20.4,61.3,18.2
22910,Hepburn ,7897,8260,16157,,51.1,,15.5,57.7,26.8
22980,Hindmarsh ,2806,2786,5592,,50.4,,15.8,56.4,27.8
23110,Hobsons Bay ,48513,49676,98189,,38.9,,18.6,65.7,15.7
23190,Horsham ,9846,10172,20018,,41,,19.7,59.8,20.5
23270,Hume ,120907,120281,241188,,33.5,,22.6,66.7,10.8
23350,Indigo ,8397,8488,16885,,47,,17.8,60.2,22.1
23430,Kingston ,82105,85188,167293,,40.1,,17.6,65.1,17.4
23670,Knox ,81122,84025,165147,,39.2,,17.5,66,16.5
23810,Latrobe ,37365,38550,75915,,40.6,,18.2,62.6,19.3
23940,Loddon,3885,3588,7473,,53,,15.4,55.9,28.7
24130,Macedon Ranges,25495,25476,50971,,42.1,,20.9,61.8,17.4
24210,Manningham,62773,66156,128929,,42.1,,16.3,62.9,20.8
24250,Mansfield ,4777,4697,9474,,47.6,,17,57.7,25.3
24330,Maribyrnong ,48252,46730,94982,,34.5,,15.6,74.2,10.2
24410,Maroondah ,58298,61103,119401,,38.6,,18.7,64.8,16.5
24600,Melbourne ,90823,92933,183756,,29.2,,6,86.8,7.2
24650,Melton ,86293,86207,172500,,33.1,,24.3,66.6,9
24780,Mildura ,27815,28122,55937,,39.2,,19.2,61.9,18.9
24850,Mitchell ,24073,23574,47647,,36.5,,20.9,64.8,14.3
24900,Moira,15012,15006,30018,,47.4,,17.2,56.8,26
24970,Monash ,102047,102889,204936,,35.6,,15.2,68.2,16.6
25060,Moonee Valley ,64162,67591,131753,,38.2,,16.3,67.5,16.2
25150,Moorabool ,17865,18148,36013,,39.5,,20.5,63.2,16.3
25250,Moreland ,93255,95507,188762,,35,,15.8,71.3,12.9
25340,Mornington Peninsula,82093,86769,168862,,46.6,,17,57.7,25.3
25430,Mount Alexander ,10065,9936,20001,,50.1,,14.8,58.7,26.5
25490,Moyne ,8547,8480,17027,,44,,19.9,59.5,20.6
25620,Murrindindi ,7470,7191,14661,,48.6,,15.6,60,24.3
25710,Nillumbik ,32377,32842,65219,,41.2,,19.2,65.6,15.1
25810,Northern Grampians ,5586,5817,11403,,49.4,,15.5,58.2,26.4
25900,Port Phillip ,57268,59208,116476,,36.9,,11.6,75.6,12.8
25990,Pyrenees ,4092,3463,7555,,50.8,,15.4,57.6,27.1
26080,Queenscliffe,1465,1543,3008,,60.8,,11,46.6,42.4
26170,South Gippsland ,14952,15296,30248,,47.9,,18,57.1,24.9
26260,Southern Grampians ,7939,8195,16134,,46.8,,17.4,58,24.6
26350,Stonnington ,57027,61587,118614,,35.2,,11.5,72.9,15.5
