LGA Name,Final Dispatch Code,,AVG RT - Seconds,Total Number
Ararat,Code 2,,1495,529
Ballarat,Code 2,,1301,4301
Banyule,Code 2,,1337,3972
Bass Coast,Code 2,,1619,1983
Baw Baw,Code 2,,1455,2045
Bayside,Code 2,,1515,2584
Benalla,Code 2,,1537,681
Boroondara,Code 2,,1419,3736
Brimbank,Code 2,,1330,6048
Buloke,Code 2,,2336,244
Campaspe,Code 2,,1696,1782
Cardinia,Code 2,,1231,3065
Casey,Code 2,,1232,9220
Central Goldfields,Code 2,,1618,856
Colac-Otway,Code 2,,1642,960
Corangamite,Code 2,,1678,626
Darebin,Code 2,,1304,5311
East Gippsland,Code 2,,1902,2518
Frankston,Code 2,,1143,6030
Gannawarra,Code 2,,2166,459
Glen Eira,Code 2,,1512,3664
Glenelg,Code 2,,1541,856
Golden Plains,Code 2,,1670,390
Greater Bendigo,Code 2,,1428,4305
Greater Dandenong,Code 2,,1178,5911
Greater Geelong,Code 2,,1366,9864
Greater Shepparton,Code 2,,1339,3067
Hepburn,Code 2,,1811,601
Hindmarsh,Code 2,,1955,322
Hobsons Bay,Code 2,,1405,2817
Horsham,Code 2,,1853,1090
Hume,Code 2,,1222,7518
Indigo,Code 2,,1917,397
Kingston,Code 2,,1333,4971
Knox,Code 2,,1128,4629
Latrobe,Code 2,,1329,4228
Loddon,Code 2,,2064,318
Macedon Ranges,Code 2,,1327,1705
Manningham,Code 2,,1466,2808
Mansfield,Code 2,,2187,426
Maribyrnong,Code 2,,1362,2791
Maroondah,Code 2,,1181,3870
Melbourne,Code 2,,1363,9172
Melton,Code 2,,1268,4394
Mildura,Code 2,,1746,2541
Mitchell,Code 2,,1415,2151
Moira,Code 2,,1598,1597
Monash,Code 2,,1390,5279
Moonee Valley (1),Code 2,,3665,5402
Moorabool,Code 2,,1366,1311
Moreland,Code 2,,1408,5614
Mornington Peninsula,Code 2,,1246,6504
Mount Alexander,Code 2,,1748,699
Moyne,Code 2,,1854,458
Murrindindi,Code 2,,1905,641
Nillumbik,Code 2,,1404,1472
Northern Grampians,Code 2,,1654,684
Port Phillip,Code 2,,1419,3790
Pyrenees,Code 2,,1638,284
Queenscliffe,Code 2,,1442,131
South Gippsland,Code 2,,1818,1197
Southern Grampians,Code 2,,1646,610
Stonnington,Code 2,,1493,2942
Strathbogie,Code 2,,1602,480
Surf Coast,Code 2,,1442,955
Swan Hill,Code 2,,1853,1001
Towong,Code 2,,1999,298
Wangaratta,Code 2,,1712,1207
Warrnambool,Code 2,,1257,1346
Wellington,Code 2,,1680,1882
West Wimmera,Code 2,,1851,151
Whitehorse,Code 2,,1307,4632
Whittlesea,Code 2,,1366,5835
Wodonga,Code 2,,1380,1561
Wyndham,Code 2,,1277,6012
Yarra,Code 2,,1356,3445
Yarra Ranges,Code 2,,1202,4719
Yarriambiack,Code 2,,2004,273
