ppl_receiving_disability_servs_sup_per_1000_pop_rank, lga_name, lga_code, ppl_aged_over_65_yrs_with_prfnd_disability_in_the_cmty_perc,males,females
4,Ararat ,20260,11.5,14.9,12.8
10,Ballarat ,20570,13,11.4,13.2
31,Banyule ,20660,13,21.7,12.7
33,Bass Coast ,20740,11.4,18.2,16.8
18,Baw Baw ,20830,11,11.5,14.5
43,Bayside ,20910,10.4,12.8,6.5
5,Benalla ,21010,11.2,11.5,8.2
39,Boroondara ,21110,10.9,7.7,12.9
40,Brimbank ,21180,23.1,22.9,24.4
69,Buloke ,21270,11.4,30.1,12.8
11,Campaspe ,21370,11.5,19.5,9.3
74,Cardinia ,21450,11.7,14.1,12.3
72,Casey ,21610,15.1,13.8,20.6
22,Central Goldfields ,21670,13.1,22,14.5
34,Colac-Otway ,21750,9.9,8.5,9.5
20,Corangamite ,21830,10.5,13.9,14.6
24,Darebin ,21890,21.3,21.3,20.6
12,East Gippsland ,22110,10.5,22.1,13.4
28,Frankston ,22170,12.2,10.3,17.2
53,Gannawarra ,22250,12,14.6,15.2
47,Glen Eira ,22310,15.6,10.7,8.9
25,Glenelg ,22410,11.7,18.7,11.3
63,Golden Plains ,22490,10.6,17.3,12.6
13,Greater Bendigo ,22620,12.9,17.5,15.4
46,Greater Dandenong ,22670,18.9,28,30.6
76,Greater Geelong ,22750,13.4,14.7,15.9
15,Greater Shepparton ,22830,12.7,12.1,18.2
70,Hepburn ,22910,10.6,14.9,8.1
29,Hindmarsh ,22980,11,25.6,14.5
32,Hobsons Bay ,23110,18.1,18,13.2
8,Horsham ,23190,11.2,17,22.5
66,Hume ,23270,21.2,16.5,25.7
42,Indigo ,23350,14.5,13.9,12.9
36,Kingston ,23430,13.1,21.9,13.9
49,Knox,23670,12.6,17.8,16.3
27,Latrobe ,23810,13.7,14.8,16.9
51,Loddon ,23940,10,25.5,13
55,Macedon Ranges ,24130,9.8,13.8,13.3
61,Manningham ,24210,12.1,8,9.8
16,Mansfield ,24250,9.9,10,10.3
44,Maribyrnong ,24330,22.1,15.3,18
26,Maroondah ,24410,10.5,13.3,15
60,Melbourne ,24600,11.3,19.6,13.3
71,Melton ,24650,18.5,21.4,16.5
21,Mildura ,24780,13.6,15.2,12
68,Mitchell ,24850,13.7,17.9,13.3
14,Moira ,24900,12.4,22.8,15.1
37,Monash ,24970,13.2,16,17
56,Moonee Valley ,25060,18,18.3,18.1
64,Moorabool ,25150,13.7,15.1,9.5
38,Moreland ,25250,22.5,14.5,20.9
62,Mornington Peninsula ,25340,10.5,15.1,11.3
23,Mount Alexander ,25430,11.1,17.7,9.3
50,Moyne ,25490,11.6,18,10.8
65,Murrindindi ,25620,9.5,17.8,17.7
75,Nillumbik ,25710,8.6,12.1,7.7
2,Northern Grampians ,25810,12.2,15.8,18
67,Port Phillip ,25900,14.2,15,7.3
48,Pyrenees ,25990,12,16.7,17.1
78,Queenscliffe ,26080,10.5,8.8,7.9
45,South Gippsland ,26170,10.8,14.2,9.6
17,Southern Grampians ,26260,10.7,8.6,10.4
73,Stonnington ,26350,12.1,13.2,14.9
30,Strathbogie ,26430,11.6,14.7,16.9
79,Surf Coast ,26490,9.7,10.5,8.6
35,Swan Hill ,26610,13.9,21.6,10.1
52,Towong ,26670,13.3,12.8,9.6
7,Wangaratta ,26700,12.4,8.1,10.5
6,Warrnambool ,26730,11,12.4,9.1
1,Wellington,26810,12.2,12.6,13
58,West Wimmera ,26890,10.8,16.6,23.7
19,Whitehorse ,26980,12,14.5,12.1
57,Whittlesea ,27070,21.3,20.6,24.5
9,Wodonga ,27170,13.7,11.6,12.6
77,Wyndham ,27260,16.8,21.4,13.6
59,Yarra ,27350,19.4,15.3,13.7
41,Yarra Ranges ,27450,10.6,16,12.9
3,Yarriambiack ,27630,11.5,30,24.3
