,Area name,Population,People aged 65 years and over(perc),response time(second),number of calls,unhealthy people(perc)
0,Ararat ,11965,24.0,1495,529,13.92362724613456
1,Ballarat ,111361,17.3,1301,4301,12.327906538195599
2,Banyule ,131940,18.0,1337,3972,17.10457025920873
3,Bass Coast ,37445,28.0,1619,1983,17.485811189744958
4,Baw Baw ,54884,19.9,1455,2045,13.036240069965746
5,Bayside ,107541,19.6,1515,2584,9.519625073227886
6,Benalla ,14137,27.4,1537,681,9.811834193959115
7,Boroondara ,183023,16.6,1419,3736,10.387522333258662
8,Brimbank ,208247,15.2,1330,6048,23.638363577866663
9,Buloke ,6101,28.4,2336,244,21.74064907392231
10,Campaspe ,37675,23.6,1696,1782,14.357358991373589
11,Cardinia ,116193,11.8,1231,3065,13.19252536727686
12,Casey,364600,10.6,1232,9220,17.189089413055402
13,Central Goldfields ,13092,29.8,1618,856,18.220210815765352
14,Colac-Otway ,21662,23.2,1642,960,8.998199612224171
15,Corangamite ,15929,24.0,1678,626,14.245451691882728
16,Darebin ,166430,13.9,1304,5311,20.942004446313764
17,East Gippsland ,47725,29.7,1902,2518,17.70597590361446
18,Frankston ,143338,16.3,1143,6030,13.809979907630913
19,Gannawarra ,10400,29.3,2166,459,14.89625
20,Glen Eira ,158216,15.2,1512,3664,9.777200788795065
21,Glenelg ,19621,24.2,1541,856,14.992268487844656
22,Golden Plains ,24249,14.7,1670,390,14.993513134562251
23,Greater Bendigo ,119980,18.0,1428,4305,16.424690781796965
24,Greater Dandenong ,168362,15.2,1178,5911,29.263492949715495
25,Greater Geelong,264866,18.5,1366,9864,15.31151223637613
26,Greater Shepparton,67070,18.2,1339,3067,15.140177426569256
27,Hepburn ,16157,26.8,1811,601,11.423612056693692
28,Hindmarsh ,5592,27.8,1955,322,20.069849785407726
29,Hobsons Bay ,98189,15.7,1405,2817,15.571573190479585
30,Horsham ,20018,20.5,1853,1090,19.7947846937756
31,Hume ,241188,10.8,1222,7518,21.08806076587558
32,Indigo ,16885,22.1,1917,397,13.39730530056263
33,Kingston ,167293,17.4,1333,4971,17.82628502089149
34,Knox ,165147,16.5,1128,4629,17.0368162909408
35,Latrobe ,75915,19.3,1329,4228,15.866390041493776
36,Loddon,7473,28.7,2064,318,19.49839421918908
37,Macedon Ranges,50971,17.4,1327,1705,13.550093190245434
38,Manningham,128929,20.8,1466,2808,8.92361532316236
39,Mansfield ,9474,25.3,2187,426,10.14873337555415
40,Maribyrnong ,94982,10.2,1362,2791,16.628367480154136
41,Maroondah ,119401,16.5,1181,3870,14.169968425725077
42,Melbourne ,183756,7.2,1363,9172,16.41382975249788
43,Melton ,172500,9.0,1268,4394,18.951221449275362
44,Mildura ,55937,18.9,1746,2541,13.591218692457586
45,Mitchell ,47647,14.3,1415,2151,15.624087560601925
46,Moira,30018,26.0,1598,1597,18.950769538277036
47,Monash ,204936,16.6,1390,5279,16.502054299878985
48,Moonee Valley ,131753,16.2,3665,5402,18.19739740271569
49,Moorabool ,36013,16.3,1366,1311,12.27799683447644
50,Moreland ,188762,12.9,1408,5614,17.73817717549083
51,Mornington Peninsula,168862,25.3,1246,6504,13.14738662339662
52,Mount Alexander ,20001,26.5,1748,699,13.527088645567721
53,Moyne ,17027,20.6,1854,458,14.414165736771011
54,Murrindindi ,14661,24.3,1905,641,17.75095150399018
55,Nillumbik ,65219,15.1,1404,1472,9.88431438691179
56,Northern Grampians ,11403,26.4,1654,684,16.922283609576425
57,Port Phillip ,116476,12.8,1419,3790,11.085875201758302
58,Pyrenees ,7555,27.1,1638,284,16.883348775645267
59,Queenscliffe,3008,42.4,1442,131,8.338331117021278
60,South Gippsland ,30248,24.9,1818,1197,11.873842898704046
61,Southern Grampians ,16134,24.6,1646,610,9.514280401636295
62,Stonnington ,118614,15.5,1493,2942,14.082677424250088
63,Strathbogie ,10992,29.3,1602,480,15.799399563318778
64,Surf Coast ,34771,18.4,1442,955,9.548551954214718
65,Swan Hill ,20534,19.9,1853,1001,15.951368462062922
66,Towong ,6102,27.7,1999,298,11.287053425106523
67,Wangaratta ,29197,23.3,1712,1207,9.330372983525706
68,Warrnambool ,35533,19.4,1257,1346,10.714662426476796
69,Wellington ,44770,21.3,1680,1882,12.794165735983919
70,West Wimmera,3810,25.6,1851,151,20.066141732283466
71,Whitehorse,180735,16.9,1307,4632,13.27720640717072
72,Whittlesea ,236539,12.1,1366,5835,22.555713011385016
73,Wodonga ,42662,15.8,1380,1561,12.108836904036378
74,Wyndham ,283294,8.0,1277,6012,17.536068536573314
75,Yarra ,103125,11.3,1356,3445,14.492126060606061
76,Yarra Ranges ,159955,16.6,1202,4719,14.438575224281829
